user_location,text,label
In bed mirmir,@Windy_Boy12 Hehehhee &gt;:),0
,@tubig_nicolet Pa ambon naman po 🥹 pupunta po ako ng all star games 😁,0
,Hindi pa handa sa responsibility? For inquries kindly send me a dm📩 🔖 : for sale abortion pbb fyang kai binsoy rain jp alter pinay feu admu adu jennie pampalaglag prochoice pills onhand seunghan bini maloi kairain makati cebu rotec cytotec pamparegla pampadugo misoprostol https://t.co/3vlQs5vQyx,0
,"@kdrama_menfess Yess, Ryu sun jae is Byeon Woo seok. That role chooses him. Gong nya emang di Lovely Runner untuk Usok 🫶🏻🫶🏻",0
,RT @EXTRALARGE6942: NAKALABAS NA ANG BAGYO HOPE EVERYONE IS SAFE GOOD MORNING 🍆💦💦💦👅 https://t.co/zriQZ5Yshd,0
enville,@sunny_luvss tama ka na kaka Japanese nac sa pasig lang ako pinanganak,0
"Manila, Philippines",JUST IN: Niyanig ng 4.6 magnitude na lindol ang karagatang bahagi ng Governor Generoso sa Davao Oriental kaninang 8:31 ng gabi ayon sa @phivolcs_dost | DZRH News https://t.co/p9D85jigEV,1
"Richmond, VA",WPAC Tropical Weather Outlook: 6/11/25. Tropical Storm Wutip hanging out near Hainan Island while a new tropical depression forms east of Luzon. https://t.co/bttw6U7Avh,1
"Quezon City, PHILIPPINES","Rainfall Advisory No. 4 #NCR_PRSD Weather System: Southwest Monsoon (Habagat) Issued at: 11:00 PM, 10 June 2025(Tuesday) Light to moderate with occasional heavy rains are expected over Cavite, Metro Manila, Pampanga, Tarlac, Bulacan, Rizal, Laguna and Nueva Ecija. Light to https://t.co/68s2F4HfoG",1
Mino's Armpit,@GreedLastl75391 @cloudy_day100 Saka tutuksuhin sila lalo ng housemates,0
,@TxmwP4MYZnZ1kPO @Ferry77962527 @NIAOBGE @BTC__Sunny @Tyx1688 @0xA96 0x50015fb9429F0f1FCa997d1B9c168FF63e6b70ef,0
"Mumbai, India","Weather: दिल्ली-NCR में मौसम ने ली करवट, उमस भरी गर्मी से झुलस रहे लोगों को मिली राहत; IMD ने जारी की एडवाइजरी #weatherupdate #delhincrweather #delhincr #weathernews #weatherupdate #imd https://t.co/irHkhLsf4B",0
"Cebu City, Central Visayas","Tropical cyclone Auring has weakened into a low-pressure area (LPA) as of 2 a.m. Friday and exited the Philippine Area of Responsibility, the weather bureau said. #CDNDigital READ STORY HERE: https://t.co/E6gUIePO8V https://t.co/pa8Nm0woCT",1
,Piste ga uwan na sad,1
Cagayan De Oro City,"@BINI_ph Wala talaga, walang makakapigil! ilang bagyo pa dumaan. WED JMFYANG AT TRINOMA",0
,@PM_611a Live in the Philippines You'll hate the heat :),1
Philippines,https://t.co/QHx1T0n8XL,0
,wts lfb seventeen .ᐟ #banxmgscartsells ✶— ꒰ SVT Season Greetings Digicode ꒱ ╰₱170 each | ₱330 set 🍓 Onhand | 1 Week | Manila 🚚 JNT GGX SDD ⌗ scoups jeonghan jun hoshi vernon woozi mingyu dk th8 svt wonwoo joshua seungkwan dino ph sg pc charm about time digi code eros https://t.co/LOTpQrmLLe,0
"Quezon City, Philippines",PANOORIN | Sitwasyon sa Plaza Libertad sa Iloilo City para sa selebrasyon ng ika-127 Araw ng Kalayaan. Magiging panauhin sa aktibidad si Department of Tourism Western Visayas Regional Director Crisanta Marlene Rodriguez. | via Hope Torrechante | Radyo Pilipinas Iloilo #RP1News https://t.co/9xs5W9wlRR,0
