text,label,confidence
grb ang bahaaa sa manilaaa juskoo d n mkadaan mga kotse 😭😭,1,0.5938241526086415
"Ulan lng ng ulan buong araw?? anu nmn 2, d pa tapos tagulan? 😩",1,0.6653556682717331
inittt grabe para akong niluluto sa sarili kong pawis 🤒,1,0.5413186264684537
brownout nnmn!!! ambon lng wtf meralco 😤,1,0.6389635764966846
"di na to normal, bsta umulan lang baha agad smin 😭",1,0.6712228079216033
sumisigaw hangin sa labas!! parang gusto ko tangayin 😩,1,0.5772565304622455
yung bubong ng kapitbahay nilipad na nman ng hangin juskoo 😭,1,0.5232826519215417
"wala pang 5mins ng ulan, lubog na agad kalsada 😭",0,0.5278065592889073
sumasayaw na poste sa lakas ng hangin gagi takot ako 😭,0,0.5163690867718831
puwet na lng kulang para maging grilled hotdog ako sa init 🥵,1,0.6833212842992958
"hangin palang takot na aso ko, e wala pang ulan 😭",0,0.5262754776894243
wala pa ngang bagyo pero feeling ko signal #3 na dito 😭,1,0.5302468130786505
grb ka ulan wag kna pa-emo d2 pa ko sa labas 😩,1,0.6905979982334206
"ang bagyo ng feelings ko, mas malakas pa sa ulan HAHA 😭",0,0.6995074658400027
nka-jacket aq pero dhl sa fashion lang lol d nmn malamig 🤪,0,0.5059706422424621
ang init ng tingin mo skn mas mainit pa sa araw 😳🔥,1,0.5134487255704804
"grb ulan sa playlist ko, puro hugot at luha 😭💔",1,0.5690403157812285
wala yan sa ulan ng problema ko sa finals 😩,0,0.7032119372653001
"sana ulan ng pera na lang, di yung ulan ng utang 😭",1,0.6383090353112046
"lamig sa opis pero dahil sa AC lang, di sa panahon 😅",1,0.5436973304570359
"bagyo sa GC namin ngayon, awayan levels 😤",0,0.5615699175162092
pagod na 'ko sa ulan ng fake friends 😭,1,0.5712873334972218
"di ko na feel 'yung ulan, mas feel ko 'yung cold treatment mo 😩",1,0.6785744811992657
"umiinit ulo ko sa init ng jeep, hindi sa panahon char 😤",0,0.6017219750162347
"ang gulo ng panahon mo, parang ikaw lang 😤",1,0.5369331327750007
"yung ulan ng good news, sana umabot sa 'kin 😭",1,0.5830363195877037
Ulan + kape = perfect. Pero mas perfect kung may jowa 😩,0,0.5201459599519384
baha ng chats pero wala ni isa galing sayo 😭,0,0.7342435506000087
