user_location,text,category
,"Coastal Waters Update! As of 5:56 PM | June 14, 2025 Source: TSUNAMI &amp; STORM SURGE LONG RANGE CAMERA Maayong Hapon! Hinay ngadto sa kasarangan ang pagbalud sa atong kadagatan sa Brgy. Busaon Coastal areas, Tagum City. ""Early Warning, Early Action"" https://t.co/6HUgM87rmr",Coastal & Flooding Hazards
"Iloilo City, Western Visayas","@Enzo_positivo Para pag nag onsite kahit may bagyo, keri lang ahahaha","Storms, Typhoons, and Wind Events"
"Cebu City, Philippines",Galit na galit ang thunder at lightning dito sa cebu hahahahaha sobra lakas ah,"Storms, Typhoons, and Wind Events"
,katakot kidlat at kulog 😓,"Storms, Typhoons, and Wind Events"
Regional Met Centre New Delhi,"In continuation with previous weather 15/06/2025: 13:10 IST; Hail storm/Thunderstorm with moderate to heavy rainfall and lightning is very likely to occur at NCR( Greater Noida), Viratnagar (Rajasthan) during next 2 hours. https://t.co/8ciKtFiABZ","Storms, Typhoons, and Wind Events"
,Posible ang biglaang pagbaha at pagguho ng lupa sa mga nabanggit na lugar sa oras ng thunderstorm. [2/2],"Storms, Typhoons, and Wind Events"
,"Looks like a storm might form later, sky getting darker.",General Weather
,PAGASA trying their best pero climate said no ?,General Weather
,Nag beanie na nga using my bonnet HAHAHA,Cold Weather / Temperature Drops
,Roads damaged. Traffic is worse than usual,Geological Events
,Sobrang humid ba ng temp sa Vietnam ang daming naka-pamaypay #AVCNationsCup2025,Extreme Heat / Heatwaves
,Sana magkaroon ng wetlands restoration projects para sa flood control,Coastal & Flooding Hazards
Philippines,"RT @NDRRMC_OpCen: Maging Alerto, lalawigan ng #Cagayan! NDRRMC(6:05PM, 14Jun25)Isang Magnitude 5.0 na lindol ang naganap sa Sanchez-Mira,…",Geological Events
Philippines,"WEATHER UPDATE: The intertropical convergence zone (ITCZ) will be affecting Mindanao and Eastern Visayas this Sunday, June 15, bringing cloudy skies with scattered rains and thunderstorms, according to PAGASA. (1/2) https://t.co/2eoEiivy2A","Storms, Typhoons, and Wind Events"
she;her,@heyraeeeee this :( binilad na kahit may heat index at na automatic nomination pa lahat lahat pero yun pa rin naging sanhi ng nomination nila??? baseless.,Extreme Heat / Heatwaves
